Gene_Names,Gene_ID,Avg_Count
afmid,LL0000000445,75
afp4,LL0000000446,13
aftpha,LL0000000447,875
aftphb,LL0000000448,350
aga,LL0000000449,171
agap1,LL0000000450,1558
agap2,LL0000000451,32
agap3,LL0000000452,2061
AGBL1,LL0000000453,8
agbl2,LL0000000454,12
agbl4,LL0000000455,23
agbl5,LL0000000456,884
agfg1a,LL0000000457,760
agfg1b,LL0000000458,716
aggf1,LL0000000459,296
agk,LL0000000460,538
agla,LL0000000461,1406
aglb,LL0000000462,35
agmat,LL0000000463,48
agmo,LL0000000464,44
ago1,LL0000000465,197
ago2,LL0000000466,1273
ago3a,LL0000000467,542
ago3b,LL0000000468,916
ago4,LL0000000469,659
agpat2,LL0000000470,593
agpat3,LL0000000471,9441
agpat4,LL0000000472,1198
agpat5,LL0000000473,1036
agpat9l,LL0000000474,1866
agps,LL0000000475,469
agr1,LL0000000476,385
agr2,LL0000000477,2580
agrn,LL0000000478,12743
agrp,LL0000000479,43
agt,LL0000000480,6
agtpbp1,LL0000000481,183
agtr1a,LL0000000482,0
agtr1b,LL0000000483,6
agtr2,LL0000000484,239
agtrap,LL0000000485,8
agxt2,LL0000000486,1258
agxta,LL0000000487,5
agxtb,LL0000000488,63
ahctf1,LL0000000489,1387
ahcy,LL0000000490,8081
ahcyl1,LL0000000491,2197
ahcyl2,LL0000000492,1721
ahdc1,LL0000000493,106
ahi1,LL0000000494,334
ahnak,LL0000000495,20325
ahr1a,LL0000000496,7
ahr1b,LL0000000497,219
ahr2,LL0000000498,2633
ahrra,LL0000000499,9
ahrrb,LL0000000500,0
ahsa1a,LL0000000501,80
ahsa1b,LL0000000502,675
ahsg1,LL0000000503,0
ahsg2,LL0000000504,0
aicda,LL0000000505,0
aida,LL0000000506,1113
aif1l,LL0000000507,183
aifm1,LL0000000508,1727
aifm2,LL0000000509,1790
aifm3,LL0000000510,16
aifm4,LL0000000511,275
aifm5,LL0000000512,1
aig1,LL0000000513,31
aimp1,LL0000000514,680
aimp2,LL0000000515,1042
aip,LL0000000516,2191
aipl1,LL0000000517,57
aipl2,LL0000000518,272
aire,LL0000000519,2
ajap1,LL0000000520,41
ajuba,LL0000000521,6363
ak1,LL0000000522,10185
ak2,LL0000000523,2353
ak3,LL0000000524,2345
ak4,LL0000000525,1103
ak5,LL0000000526,45
ak5l,LL0000000527,2173
AK6,LL0000000528,508
ak7a,LL0000000529,0
ak7b,LL0000000530,24
ak8,LL0000000531,12
ak9,LL0000000532,96
akap10,LL0000000533,443
akap11,LL0000000534,186
akap12a,LL0000000535,14
akap12b,LL0000000536,1217
akap13,LL0000000537,29
akap17a,LL0000000538,311
akap1a,LL0000000539,1
akap1b,LL0000000540,778
akap6,LL0000000541,130
akap7,LL0000000542,55
akap8l,LL0000000543,1853
akap9,LL0000000544,1968
akip1,LL0000000545,91
akirin1,LL0000000546,1414
akirin2,LL0000000547,1129
akna,LL0000000548,77
aknad1,LL0000000549,0
akr1a1a,LL0000000550,7
akr1a1b,LL0000000551,826
akr1b1,LL0000000552,236
akr7a3,LL0000000553,460
akt1,LL0000000554,36
akt1s1,LL0000000555,3610
akt2,LL0000000556,1688
akt2l,LL0000000557,1381
akt3a,LL0000000558,143
akt3b,LL0000000559,139
aktip,LL0000000560,2420
AL590134.1,LL0000000561,1
AL590145.1,LL0000000562,8
AL590146.1,LL0000000563,0
AL590149.1,LL0000000564,30
AL590150.1,LL0000000565,12
AL590151.1,LL0000000566,43
AL590151.2,LL0000000567,4
AL590152.1,LL0000000568,1
AL627088.1,LL0000000569,0
AL627126.1,LL0000000570,0
AL627164.1,LL0000000571,0
AL627258.1,LL0000000572,0
AL627305.1,LL0000000573,13
AL627305.2,LL0000000574,0
AL627305.3,LL0000000575,25
AL645691.1,LL0000000576,2
AL645691.2,LL0000000577,49
AL645792.1,LL0000000578,0
AL645792.2,LL0000000579,0
AL732488.1,LL0000000580,1035
AL732515.1,LL0000000581,0
AL732567.1,LL0000000582,1
AL732629.1,LL0000000583,0
AL772146.1,LL0000000584,0
AL772146.2,LL0000000585,0
AL772219.1,LL0000000586,0
AL772298.1,LL0000000587,0
AL772298.3,LL0000000588,0
AL772300.1,LL0000000589,3
AL772300.2,LL0000000590,0
AL772314.1,LL0000000591,0
AL772362.1,LL0000000592,1
AL772373.1,LL0000000593,13
AL772382.1,LL0000000594,36
AL773558.1,LL0000000595,28
AL805905.1,LL0000000596,0
AL807389.1,LL0000000597,0
AL807749.1,LL0000000598,1
AL807749.2,LL0000000599,0
AL807792.1,LL0000000600,0
AL808121.1,LL0000000601,0
AL808129.1,LL0000000602,36
AL808129.2,LL0000000603,0
AL831726.1,LL0000000604,3
AL831726.2,LL0000000605,0
AL831726.3,LL0000000606,0
AL831745.1,LL0000000607,13
AL831745.2,LL0000000608,2
AL831745.3,LL0000000609,5
AL831768.1,LL0000000610,1
AL833789.1,LL0000000611,2
AL840638.1,LL0000000612,63
AL840638.2,LL0000000613,2
AL844141.1,LL0000000614,13
AL844172.1,LL0000000615,9
AL844185.1,LL0000000616,1
AL844186.1,LL0000000617,2
AL844192.1,LL0000000618,0
AL844518.1,LL0000000619,2
AL844563.1,LL0000000620,0
AL845295.1,LL0000000621,0
AL845295.2,LL0000000622,0
AL845306.1,LL0000000623,0
AL845312.1,LL0000000624,0
