Gene_Names,Gene_ID,Avg_Count
AL645792.2,LL0000000579,5
AL732488.1,LL0000000580,2659
AL732515.1,LL0000000581,0
AL732567.1,LL0000000582,0
AL732629.1,LL0000000583,0
AL772146.1,LL0000000584,0
AL772146.2,LL0000000585,2
AL772219.1,LL0000000586,1
AL772298.1,LL0000000587,0
AL772298.3,LL0000000588,0
AL772300.1,LL0000000589,15
AL772300.2,LL0000000590,0
AL772314.1,LL0000000591,0
AL772362.1,LL0000000592,2
AL772373.1,LL0000000593,17
AL772382.1,LL0000000594,21
AL773558.1,LL0000000595,18
AL805905.1,LL0000000596,0
AL807389.1,LL0000000597,0
AL807749.1,LL0000000598,2
AL807749.2,LL0000000599,0
AL807792.1,LL0000000600,4
AL808121.1,LL0000000601,0
AL808129.1,LL0000000602,38
AL808129.2,LL0000000603,0
AL831726.1,LL0000000604,0
AL831726.2,LL0000000605,0
AL831726.3,LL0000000606,0
AL831745.1,LL0000000607,15
AL831745.2,LL0000000608,2
AL831745.3,LL0000000609,1
AL831768.1,LL0000000610,3
AL833789.1,LL0000000611,1
AL840638.1,LL0000000612,81
AL840638.2,LL0000000613,0
AL844141.1,LL0000000614,4
AL844172.1,LL0000000615,36
AL844185.1,LL0000000616,0
AL844186.1,LL0000000617,2
AL844192.1,LL0000000618,0
AL844518.1,LL0000000619,7
AL844563.1,LL0000000620,0
AL845295.1,LL0000000621,0
AL845295.2,LL0000000622,0
AL845306.1,LL0000000623,0
AL845312.1,LL0000000624,0
AL845320.1,LL0000000625,2
AL845320.2,LL0000000626,0
AL845324.1,LL0000000627,2
AL845324.2,LL0000000628,0
AL845330.1,LL0000000629,0
AL845357.1,LL0000000630,0
AL845362.1,LL0000000631,9
AL845365.1,LL0000000632,0
AL845369.1,LL0000000633,0
AL845369.2,LL0000000634,0
AL845419.1,LL0000000635,0
AL845428.1,LL0000000636,0
AL845428.2,LL0000000637,0
AL845428.3,LL0000000638,0
AL845435.1,LL0000000639,0
AL845550.1,LL0000000640,0
AL928650.1,LL0000000641,0
AL928650.2,LL0000000642,6
AL928650.3,LL0000000643,19
AL928650.4,LL0000000644,291
AL928657.1,LL0000000645,25
AL928657.2,LL0000000646,0
AL928685.1,LL0000000647,0
AL928685.2,LL0000000648,62
AL928685.3,LL0000000649,0
AL928685.4,LL0000000650,0
AL928707.1,LL0000000651,0
AL928707.2,LL0000000652,0
AL928707.3,LL0000000653,0
AL928714.1,LL0000000654,1
AL928716.1,LL0000000655,0
AL928724.1,LL0000000656,3
AL928725.1,LL0000000657,0
AL928808.1,LL0000000658,2
AL928824.1,LL0000000659,3
AL928824.2,LL0000000660,32
AL928824.3,LL0000000661,0
AL928835.1,LL0000000662,0
AL928845.1,LL0000000663,2
AL928851.1,LL0000000664,0
AL928854.1,LL0000000665,7
AL928866.1,LL0000000666,0
AL928866.2,LL0000000667,0
AL928870.1,LL0000000668,0
AL928875.1,LL0000000669,0
AL928881.1,LL0000000670,0
AL928908.1,LL0000000671,0
AL928908.2,LL0000000672,0
AL928908.3,LL0000000673,41
AL928920.1,LL0000000674,0
AL928920.2,LL0000000675,0
AL928920.3,LL0000000676,3
AL928920.4,LL0000000677,0
AL928927.1,LL0000000678,0
AL928951.1,LL0000000679,0
AL928977.1,LL0000000680,0
AL929009.1,LL0000000681,1
AL929009.2,LL0000000682,0
AL929017.1,LL0000000683,1
